Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jeremiah Robinson-Earl,22,43,20,18.9,2.6,5.8,0.444,0.9,2.6,0.333,1.7,3.2,0.533,0.518,0.8,1.0,0.833,1.7,2.5,4.2,1.0,0.6,0.3,0.4,1.7,6.8
Isaiah Roby,24,42,2,11.3,1.6,3.7,0.432,0.4,1.4,0.3,1.2,2.3,0.516,0.49,0.5,1.0,0.488,0.5,2.0,2.5,0.9,0.4,0.2,0.7,1.3,4.1
David Roddy,21,70,4,18.0,2.6,6.0,0.429,0.9,3.0,0.307,1.6,3.0,0.553,0.506,0.6,0.9,0.631,0.7,2.0,2.8,0.8,0.4,0.3,0.8,1.5,6.7
Ryan Rollins,20,12,0,5.2,0.6,1.7,0.35,0.3,0.8,0.333,0.3,0.9,0.364,0.425,0.5,0.5,1.0,0.3,0.8,1.0,0.5,0.1,0.1,1.3,0.8,1.9
Derrick Rose,34,27,0,12.5,2.3,5.9,0.384,0.7,2.3,0.302,1.6,3.6,0.438,0.443,0.4,0.4,0.917,0.3,1.2,1.5,1.7,0.3,0.2,0.8,0.7,5.6
Terrence Ross,31,126,18,20.666666666666668,9.7,22.4,0.42966666666666664,4.6,12.6,0.36533333333333334,5.1,9.8,0.5133333333333333,0.5316666666666667,1.4,1.7,0.8003333333333332,1.1,6.6000000000000005,7.699999999999999,4.8,1.7,0.5,1.9,4.9,25.3
Terry Rozier,28,63,63,35.3,7.8,18.9,0.415,2.6,8.0,0.327,5.2,10.8,0.48,0.484,2.8,3.5,0.809,0.8,3.3,4.1,5.1,1.2,0.3,2.1,1.9,21.1
Ricky Rubio,32,33,2,17.2,1.8,5.4,0.343,0.6,2.5,0.256,1.2,2.9,0.417,0.402,0.8,1.1,0.8,0.3,1.8,2.1,3.5,0.8,0.2,0.9,1.5,5.2
D'Angelo Russell,26,142,142,32.1,18.9,39.9,0.4726666666666666,8.100000000000001,20.4,0.4003333333333334,10.6,19.4,0.5496666666666666,0.5756666666666667,7.2,9.0,0.8066666666666666,1.4,7.5,9.0,18.5,2.7,1.3,7.6,5.6,53.099999999999994
Matt Ryan,25,68,0,9.366666666666667,3.6,10.0,0.3666666666666667,2.9,7.6,0.38000000000000006,0.7,2.4,0.3586666666666667,0.5143333333333333,0.8999999999999999,1.1,0.8300000000000001,0.4,2.1,2.5,1.3,0.4,0.0,0.7,2.6,10.9
Domantas Sabonis,26,79,79,34.6,7.3,11.9,0.615,0.4,1.1,0.373,6.9,10.8,0.639,0.632,4.1,5.5,0.742,3.2,9.1,12.3,7.3,0.8,0.5,2.9,3.5,19.1
Luka amani?,23,7,4,23.0,3.7,8.1,0.456,1.1,4.4,0.258,2.6,3.7,0.692,0.526,1.3,1.9,0.692,0.0,4.3,4.3,2.1,0.9,0.3,1.4,2.4,9.9
Dario ari?,28,114,24,14.066666666666668,6.9,14.7,0.4666666666666666,2.4,6.199999999999999,0.391,4.4,8.4,0.5263333333333333,0.5496666666666666,3.5,4.1,0.8303333333333333,2.7,8.1,10.7,3.7,1.2000000000000002,0.30000000000000004,3.0,5.1,19.6
Olivier Sarr,23,9,1,12.7,1.7,3.3,0.5,0.1,0.9,0.125,1.6,2.4,0.636,0.517,0.6,0.8,0.714,1.3,2.1,3.4,0.4,0.1,0.6,0.4,1.9,4.0
Jordan Schakel,24,2,0,3.0,0.5,1.0,0.5,0.5,0.5,1.0,0.0,0.5,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.5
Admiral Schofield,25,37,0,12.2,1.5,3.3,0.451,0.6,2.0,0.324,0.8,1.3,0.646,0.549,0.6,0.6,0.913,0.6,1.1,1.7,0.8,0.2,0.1,0.4,1.6,4.2
Dennis Schröder,29,66,50,30.1,4.1,9.8,0.415,1.1,3.4,0.329,3.0,6.4,0.461,0.472,3.3,3.8,0.857,0.3,2.2,2.5,4.5,0.8,0.2,1.7,2.2,12.6
Jay Scrubb,22,2,0,15.0,2.5,3.5,0.714,1.0,1.0,1.0,1.5,2.5,0.6,0.857,0.5,1.0,0.5,0.0,3.0,3.0,0.5,1.0,0.0,1.5,1.0,6.5
Dereon Seabron,22,5,0,2.4,0.4,1.0,0.4,0.0,0.0,0.0,0.4,1.0,0.4,0.4,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.8
Alperen Þengün,20,75,72,28.9,5.9,10.7,0.553,0.3,0.8,0.333,5.6,9.9,0.57,0.565,2.7,3.8,0.715,3.2,5.8,9.0,3.9,0.9,0.9,2.6,3.4,14.8
Collin Sexton,24,48,15,23.9,4.9,9.8,0.506,1.0,2.5,0.393,3.9,7.2,0.546,0.558,3.4,4.1,0.819,0.8,1.4,2.2,2.9,0.6,0.1,1.8,2.3,14.3
Landry Shamet,25,40,9,20.2,2.8,7.5,0.377,1.9,5.0,0.377,1.0,2.5,0.376,0.502,1.1,1.3,0.882,0.3,1.4,1.7,2.3,0.7,0.1,0.9,1.5,8.7
Day'Ron Sharpe,21,48,3,11.5,1.9,3.6,0.544,0.1,0.2,0.545,1.8,3.3,0.544,0.561,0.7,1.1,0.636,2.1,2.1,4.2,0.8,0.3,0.7,0.9,1.9,4.7
Shaedon Sharpe,19,80,15,22.2,3.8,8.1,0.472,1.3,3.5,0.36,2.6,4.6,0.559,0.551,0.9,1.3,0.714,0.8,2.2,3.0,1.2,0.5,0.3,1.0,1.7,9.9
Pascal Siakam,28,71,71,37.4,8.9,18.5,0.48,1.3,4.0,0.324,7.6,14.5,0.523,0.515,5.2,6.7,0.774,1.8,6.0,7.8,5.8,0.9,0.5,2.4,3.2,24.2
Chris Silva,26,1,0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0
Ben Simmons,26,42,33,26.3,3.2,5.6,0.566,0.0,0.0,0.0,3.2,5.5,0.571,0.566,0.6,1.4,0.439,1.0,5.3,6.3,6.1,1.3,0.6,2.3,3.3,6.9
Kobi Simmons,25,5,0,5.6,0.2,1.2,0.167,0.2,1.0,0.2,0.0,0.2,0.0,0.25,0.4,0.4,1.0,0.2,0.6,0.8,1.0,0.0,0.4,0.2,0.0,1.0
Marko Simonovic,23,7,0,2.9,0.3,1.0,0.286,0.1,0.6,0.25,0.1,0.4,0.333,0.357,0.1,0.3,0.5,0.1,0.1,0.3,0.0,0.0,0.0,0.0,0.7,0.9
Anfernee Simons,23,62,62,35.0,7.5,16.9,0.447,3.4,9.1,0.377,4.1,7.8,0.528,0.548,2.6,2.9,0.894,0.3,2.3,2.6,4.1,0.7,0.2,2.1,2.3,21.1
Jericho Sims,24,52,16,15.6,1.6,2.1,0.776,0.0,0.0,0.0,1.6,2.0,0.783,0.776,0.2,0.3,0.75,1.9,2.8,4.7,0.5,0.3,0.5,0.5,1.8,3.4
Marcus Smart,28,61,61,32.1,4.1,9.9,0.415,1.9,5.6,0.336,2.2,4.3,0.519,0.511,1.4,1.9,0.746,0.8,2.4,3.1,6.3,1.5,0.4,2.3,2.8,11.5
Dennis Smith Jr.,25,54,15,25.7,3.4,8.4,0.412,0.4,2.1,0.216,3.0,6.3,0.475,0.438,1.4,2.0,0.736,0.5,2.6,3.1,4.8,1.4,0.5,1.5,2.3,8.8
Dru Smith,25,30,2,11.0,3.5,8.9,0.39199999999999996,0.9,3.8,0.246,2.6,5.1,0.5,0.4443333333333333,0.5,0.5,0.6666666666666666,0.4,4.5,4.9,4.2,2.1,1.0,0.6000000000000001,4.8,8.4
Ish Smith,34,43,0,9.3,1.2,3.0,0.397,0.0,0.3,0.167,1.2,2.8,0.42,0.405,0.0,0.1,0.5,0.1,1.1,1.3,2.3,0.2,0.2,1.0,0.8,2.5
Jabari Smith Jr.,19,79,79,31.0,4.6,11.3,0.408,1.5,4.9,0.307,3.1,6.3,0.487,0.475,2.1,2.6,0.786,1.5,5.7,7.2,1.3,0.5,0.9,1.3,2.9,12.8
Jalen Smith,22,68,31,18.8,3.6,7.5,0.476,0.8,2.8,0.283,2.8,4.7,0.593,0.53,1.5,2.0,0.759,1.9,3.9,5.8,1.0,0.3,0.9,1.1,2.3,9.4
Xavier Sneed,25,4,0,12.0,1.3,2.5,0.5,0.8,1.5,0.5,0.5,1.0,0.5,0.65,1.0,1.0,1.0,0.0,1.3,1.3,1.3,0.0,0.3,0.8,1.8,4.3
Jeremy Sochan,19,56,53,26.0,4.5,9.9,0.453,0.6,2.4,0.246,3.9,7.5,0.519,0.483,1.4,2.1,0.698,1.7,3.6,5.3,2.5,0.8,0.4,1.7,2.5,11.0
Jaden Springer,20,16,2,5.6,1.1,2.2,0.486,0.1,0.3,0.4,0.9,1.9,0.5,0.514,0.4,0.5,0.75,0.4,0.5,0.9,0.5,0.4,0.2,0.2,0.9,2.6
Lamar Stevens,25,62,25,18.1,2.1,4.6,0.448,0.5,1.5,0.316,1.6,3.1,0.513,0.5,0.6,0.9,0.702,0.8,2.6,3.3,0.5,0.4,0.3,0.4,1.3,5.3
Isaiah Stewart,21,50,47,28.3,3.9,8.8,0.442,1.3,4.1,0.327,2.6,4.7,0.542,0.518,2.2,3.0,0.738,2.3,5.8,8.1,1.4,0.4,0.7,1.4,2.7,11.3
Max Strus,26,80,33,28.4,4.1,9.9,0.41,2.5,7.0,0.35,1.6,2.8,0.559,0.535,1.0,1.1,0.876,0.6,2.6,3.2,2.1,0.5,0.2,0.9,2.1,11.5
Jalen Suggs,21,53,19,23.5,3.5,8.4,0.419,1.2,3.8,0.327,2.3,4.6,0.496,0.493,1.6,2.2,0.723,1.0,2.0,3.0,2.9,1.3,0.5,1.8,2.3,9.9
Edmond Sumner,27,53,12,13.9,2.3,5.1,0.461,0.6,1.6,0.356,1.8,3.4,0.511,0.519,1.9,2.0,0.917,0.2,1.2,1.5,1.3,0.6,0.2,0.9,1.6,7.1
Cole Swider,23,7,0,5.9,0.4,1.3,0.333,0.4,1.1,0.375,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.1,0.9,1.0,0.6,0.0,0.0,0.0,0.4,1.3
Jae'Sean Tate,27,31,7,21.8,3.5,7.4,0.48,0.4,1.5,0.283,3.1,5.9,0.53,0.509,1.6,2.2,0.725,1.3,2.5,3.8,2.7,0.7,0.2,1.5,3.4,9.1
Jayson Tatum,24,74,74,36.9,9.8,21.1,0.466,3.2,9.3,0.35,6.6,11.8,0.558,0.543,7.2,8.4,0.854,1.1,7.7,8.8,4.6,1.1,0.7,2.9,2.2,30.1
Terry Taylor,23,62,4,8.166666666666666,4.3,6.9,0.6273333333333334,0.6000000000000001,1.5,0.49499999999999994,3.7,5.4,0.6829999999999999,0.665,0.6000000000000001,1.5,0.503,2.7,1.9,4.6,0.7,0.2,0.6000000000000001,0.6,2.1,9.6
Garrett Temple,36,25,0,6.5,0.7,1.8,0.4,0.4,1.0,0.423,0.3,0.8,0.368,0.522,0.1,0.2,0.75,0.2,0.5,0.7,0.5,0.4,0.1,0.2,0.6,2.0
Dalen Terry,20,38,0,5.6,0.8,1.9,0.444,0.2,0.7,0.259,0.7,1.2,0.556,0.493,0.4,0.6,0.667,0.3,0.7,1.0,0.6,0.3,0.1,0.2,0.6,2.2
Daniel Theis,30,7,1,15.6,3.0,6.3,0.477,0.3,1.6,0.182,2.7,4.7,0.576,0.5,0.7,1.7,0.417,1.0,2.1,3.1,1.3,0.3,0.9,0.4,1.0,7.0
Cam Thomas,21,57,4,16.6,3.5,8.0,0.441,0.9,2.3,0.383,2.6,5.7,0.464,0.497,2.6,3.1,0.868,0.1,1.5,1.7,1.4,0.4,0.1,1.1,1.0,10.6
Klay Thompson,32,69,69,33.0,7.9,18.1,0.436,4.4,10.6,0.412,3.6,7.6,0.47,0.556,1.7,1.9,0.879,0.6,3.6,4.1,2.4,0.7,0.4,1.8,1.9,21.9
JT Thor,20,69,8,14.0,1.4,3.4,0.399,0.6,1.8,0.317,0.8,1.7,0.487,0.481,0.5,0.7,0.702,0.5,1.7,2.2,0.5,0.3,0.3,0.6,1.0,3.8
Matisse Thybulle,25,142,56,18.9,5.2,12.2,0.4346666666666667,2.7,7.3,0.36200000000000004,2.6,5.0,0.533,0.5406666666666667,1.0,1.3,0.6846666666666668,1.9,4.9,6.8,2.5999999999999996,3.8,1.6,1.2,5.1000000000000005,14.2
Xavier Tillman Sr.,24,61,29,19.3,3.1,5.0,0.614,0.1,0.2,0.267,3.0,4.8,0.632,0.621,0.8,1.5,0.551,2.0,3.0,5.0,1.6,1.0,0.5,0.7,1.6,7.0
Isaiah Todd,21,6,1,10.2,0.5,3.2,0.158,0.2,1.7,0.1,0.3,1.5,0.222,0.184,0.3,0.3,1.0,0.3,1.7,2.0,0.7,0.2,0.0,0.3,0.7,1.5
Obi Toppin,24,67,5,15.7,2.8,6.3,0.446,1.3,3.7,0.344,1.5,2.6,0.593,0.548,0.6,0.7,0.809,0.4,2.4,2.8,1.0,0.3,0.2,0.6,1.0,7.4
Juan Toscano-Anderson,29,104,18,13.633333333333333,3.7,8.5,0.4503333333333333,0.5,2.5,0.18666666666666668,3.3,5.9,0.5633333333333334,0.47833333333333333,1.2000000000000002,1.4,0.8046666666666668,1.6,5.6000000000000005,7.3,3.9000000000000004,0.8999999999999999,0.5,2.1,4.5,9.1
Karl-Anthony Towns,27,29,29,33.0,7.3,14.8,0.495,2.1,5.7,0.366,5.2,9.1,0.576,0.565,4.1,4.7,0.874,1.7,6.5,8.1,4.8,0.7,0.6,3.0,3.8,20.8
Gary Trent Jr.,24,66,44,32.1,6.1,14.2,0.433,2.5,6.8,0.369,3.6,7.3,0.493,0.522,2.6,3.1,0.839,0.5,2.2,2.6,1.6,1.6,0.2,0.8,1.5,17.4
P.J. Tucker,37,75,75,25.6,1.3,3.0,0.427,0.7,1.9,0.393,0.5,1.1,0.482,0.549,0.3,0.3,0.826,1.3,2.7,3.9,0.8,0.5,0.2,0.6,2.4,3.5
Myles Turner,26,62,62,29.4,6.5,11.8,0.548,1.5,4.0,0.373,5.0,7.8,0.638,0.612,3.5,4.5,0.783,1.4,6.1,7.5,1.4,0.6,2.3,1.7,3.5,18.0
Stanley Umude,23,1,0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Jonas Valan?i?nas,30,79,79,24.9,5.6,10.3,0.547,0.5,1.4,0.349,5.2,8.9,0.577,0.57,2.3,2.8,0.826,2.8,7.3,10.2,1.8,0.3,0.7,2.0,3.1,14.1
Jarred Vanderbilt,23,156,130,24.066666666666666,9.3,17.2,0.5443333333333333,1.2000000000000002,3.6,0.3193333333333333,8.3,13.6,0.6026666666666666,0.577,3.6,5.2,0.7106666666666667,6.4,15.6,22.1,6.7,3.3,0.8,3.6,7.2,23.400000000000002
Fred VanVleet,28,69,69,36.7,6.3,16.1,0.393,3.0,8.8,0.342,3.3,7.3,0.455,0.486,3.7,4.1,0.898,0.4,3.6,4.1,7.2,1.8,0.6,2.0,2.8,19.3
Devin Vassell,22,38,32,31.0,6.9,15.7,0.439,2.7,7.0,0.387,4.2,8.7,0.48,0.525,2.1,2.6,0.78,0.2,3.7,3.9,3.6,1.1,0.4,1.5,1.5,18.5
Gabe Vincent,26,68,34,25.9,3.4,8.3,0.402,1.7,5.1,0.334,1.6,3.2,0.512,0.505,1.0,1.1,0.872,0.4,1.7,2.1,2.5,0.9,0.1,1.4,2.3,9.4
Noah Vonleh,27,23,1,7.4,0.5,1.0,0.458,0.0,0.2,0.25,0.4,0.9,0.5,0.479,0.1,0.1,1.0,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,1.1
Nikola Vu?evi?,32,82,82,33.5,7.3,14.0,0.52,1.5,4.2,0.349,5.8,9.8,0.594,0.573,1.6,1.9,0.835,1.9,9.1,11.0,3.2,0.7,0.7,1.7,2.2,17.6
Dean Wade,26,44,13,20.3,1.7,4.0,0.412,1.0,2.9,0.354,0.6,1.1,0.56,0.54,0.3,0.5,0.652,0.5,3.0,3.4,0.8,0.6,0.5,0.4,2.0,4.7
Franz Wagner,21,80,80,32.6,6.8,14.0,0.485,1.6,4.5,0.361,5.2,9.5,0.544,0.543,3.4,4.0,0.842,0.9,3.2,4.1,3.5,1.0,0.2,2.1,2.3,18.6
Moritz Wagner,25,57,18,19.5,3.5,6.9,0.5,0.9,2.9,0.313,2.6,4.1,0.631,0.564,2.7,3.2,0.841,1.2,3.3,4.5,1.5,0.6,0.2,1.2,2.4,10.5
Ish Wainright,28,60,2,15.3,1.4,3.8,0.37,1.0,2.9,0.329,0.5,0.9,0.5,0.496,0.4,0.5,0.839,0.8,1.6,2.3,0.9,0.6,0.4,0.4,2.0,4.2
Jabari Walker,20,56,0,11.1,1.5,3.5,0.419,0.3,1.0,0.286,1.2,2.5,0.472,0.46,0.6,0.8,0.756,0.9,1.5,2.3,0.6,0.2,0.2,0.5,1.2,3.9
Kemba Walker,32,9,1,16.0,2.7,6.3,0.421,0.8,3.1,0.25,1.9,3.2,0.586,0.482,1.9,2.3,0.81,0.3,1.4,1.8,2.1,0.2,0.2,0.4,1.2,8.0
Lonnie Walker IV,24,56,32,23.2,4.2,9.4,0.448,1.6,4.4,0.365,2.6,5.0,0.522,0.534,1.6,1.9,0.858,0.3,1.7,1.9,1.1,0.5,0.3,0.8,1.3,11.7
John Wall,32,34,3,22.2,4.1,9.9,0.408,1.0,3.2,0.303,3.1,6.7,0.459,0.457,2.3,3.3,0.681,0.4,2.3,2.7,5.2,0.8,0.4,2.4,1.7,11.4
T.J. Warren,29,84,0,15.833333333333334,8.9,18.5,0.476,1.5,4.6,0.3256666666666667,7.4,13.8,0.5263333333333333,0.517,1.8,2.2,0.706,1.9,6.8999999999999995,8.8,2.8,1.5,0.8999999999999999,1.4,4.5,21.2
Duane Washington Jr.,22,31,3,12.7,3.0,8.3,0.367,1.3,3.6,0.36,1.7,4.7,0.372,0.445,0.5,0.8,0.667,0.1,1.1,1.2,2.0,0.2,0.1,1.1,0.7,7.9
P.J. Washington,24,73,73,32.6,5.9,13.4,0.444,2.0,5.9,0.348,3.9,7.5,0.518,0.52,1.7,2.4,0.73,1.0,3.9,4.9,2.4,0.9,1.1,1.5,2.6,15.7
TyTy Washington Jr.,21,31,2,14.0,1.9,5.2,0.363,0.6,2.6,0.238,1.3,2.6,0.488,0.422,0.3,0.6,0.556,0.1,1.4,1.5,1.5,0.5,0.1,0.5,0.9,4.7
Yuta Watanabe,28,58,1,16.0,2.0,4.0,0.491,1.0,2.3,0.444,0.9,1.7,0.557,0.621,0.6,0.8,0.723,0.5,1.9,2.4,0.8,0.4,0.3,0.4,1.4,5.6
Lindy Waters III,25,41,0,13.0,1.7,4.3,0.393,1.4,4.0,0.358,0.3,0.4,0.75,0.556,0.4,0.5,0.8,0.4,1.4,1.8,0.7,0.3,0.3,0.2,1.0,5.2
Trendon Watford,22,62,12,19.1,2.9,5.2,0.56,0.4,1.0,0.391,2.5,4.2,0.602,0.599,1.2,1.6,0.72,0.7,3.2,3.8,2.1,0.5,0.2,1.1,1.9,7.4
Peyton Watson,20,23,2,8.1,1.3,2.6,0.492,0.3,0.6,0.429,1.0,2.0,0.511,0.542,0.5,0.9,0.55,0.3,1.3,1.6,0.5,0.1,0.5,0.3,0.6,3.3
Blake Wesley,19,37,1,18.1,1.9,5.8,0.321,0.5,1.4,0.385,1.3,4.4,0.301,0.367,0.7,1.2,0.591,0.3,1.9,2.2,2.7,0.7,0.1,1.8,1.8,5.0
Russell Westbrook,34,146,48,29.333333333333332,17.8,40.1,0.44733333333333336,3.5999999999999996,11.5,0.321,14.2,28.6,0.498,0.49300000000000005,8.2,12.5,0.6563333333333333,3.7,13.0,16.9,22.6,3.1,1.4,10.4,6.5,47.6
Coby White,22,74,2,23.4,3.6,8.0,0.443,1.7,4.6,0.372,1.8,3.4,0.54,0.551,0.8,0.9,0.871,0.2,2.6,2.9,2.8,0.7,0.1,1.0,1.6,9.7
Derrick White,28,82,70,28.3,4.3,9.2,0.462,1.8,4.8,0.381,2.5,4.5,0.548,0.56,2.0,2.3,0.875,0.6,2.9,3.6,3.9,0.7,0.9,1.2,2.2,12.4
Jack White,25,17,0,3.9,0.5,1.1,0.421,0.2,0.5,0.333,0.3,0.6,0.5,0.5,0.1,0.2,0.667,0.4,0.6,1.0,0.2,0.2,0.1,0.1,0.5,1.2
Joe Wieskamp,23,9,0,5.6,0.3,1.6,0.214,0.3,1.3,0.25,0.0,0.2,0.0,0.321,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.0,0.0,0.1,0.3,1.0
Aaron Wiggins,24,70,14,18.5,2.7,5.2,0.512,0.7,1.7,0.393,2.0,3.4,0.573,0.579,0.8,1.0,0.831,1.0,2.0,3.0,1.1,0.6,0.2,0.8,1.6,6.8
Andrew Wiggins,27,37,37,32.2,6.8,14.3,0.473,2.4,6.1,0.396,4.4,8.2,0.53,0.557,1.2,1.9,0.611,1.6,3.4,5.0,2.3,1.2,0.8,1.3,2.9,17.1
Lindell Wigginton,24,7,1,12.4,2.6,5.3,0.486,0.9,2.6,0.333,1.7,2.7,0.632,0.568,1.1,1.3,0.889,0.0,1.0,1.0,2.0,0.0,0.3,1.7,1.0,7.1
Alondes Williams,23,1,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
Donovan Williams,21,2,0,2.0,1.0,2.5,0.4,0.0,1.0,0.0,1.0,1.5,0.667,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
Grant Williams,24,79,23,25.9,2.7,6.0,0.454,1.5,3.7,0.395,1.3,2.3,0.546,0.575,1.2,1.5,0.77,1.1,3.5,4.6,1.7,0.5,0.4,1.0,2.4,8.1
Jalen Williams,21,75,62,30.3,5.5,10.6,0.521,1.0,2.7,0.356,4.5,7.9,0.579,0.567,2.1,2.5,0.812,1.1,3.4,4.5,3.3,1.4,0.5,1.6,2.5,14.1
Jaylin Williams,20,49,36,18.7,2.1,4.8,0.436,0.9,2.3,0.407,1.1,2.5,0.463,0.534,0.8,1.1,0.704,0.9,4.0,4.9,1.6,0.6,0.2,0.8,2.3,5.9
Jeenathan Williams,23,5,4,25.4,4.8,7.8,0.615,0.6,1.6,0.375,4.2,6.2,0.677,0.654,0.4,0.6,0.667,2.0,1.0,3.0,2.0,0.6,0.4,0.8,2.6,10.6
Kenrich Williams,28,53,10,22.8,3.4,6.5,0.517,0.9,2.5,0.373,2.4,4.0,0.608,0.59,0.3,0.7,0.436,1.8,3.1,4.9,2.0,0.8,0.3,0.6,2.1,8.0
Mark Williams,21,43,17,19.3,3.7,5.8,0.637,0.0,0.0,0.0,3.7,5.8,0.637,0.637,1.6,2.3,0.691,2.2,4.9,7.1,0.4,0.7,1.0,0.9,2.2,9.0
Patrick Williams,21,82,65,28.3,3.8,8.3,0.464,1.4,3.4,0.415,2.4,4.9,0.498,0.549,1.1,1.3,0.857,1.0,3.0,4.0,1.2,0.9,0.9,1.2,1.8,10.2
Robert Williams,25,35,20,23.5,3.6,4.9,0.747,0.0,0.0,0.0,3.6,4.8,0.751,0.747,0.7,1.2,0.61,3.0,5.4,8.3,1.4,0.6,1.4,1.0,1.9,8.0
Vince Williams Jr.,22,15,1,7.0,0.8,2.7,0.3,0.3,1.9,0.143,0.5,0.8,0.667,0.35,0.1,0.1,1.0,0.3,0.7,1.0,0.3,0.4,0.1,0.3,0.8,2.0
Ziaire Williams,21,37,4,15.2,2.3,5.3,0.429,0.7,2.6,0.258,1.6,2.7,0.596,0.492,0.5,0.6,0.773,0.4,1.7,2.1,0.9,0.4,0.2,1.0,1.6,5.7
Zion Williamson,22,29,29,33.0,9.8,16.2,0.608,0.2,0.7,0.368,9.6,15.5,0.618,0.615,6.1,8.6,0.714,2.0,5.0,7.0,4.6,1.1,0.6,3.4,2.2,26.0
Dylan Windler,26,3,0,3.3,0.7,1.0,0.667,0.3,0.7,0.5,0.3,0.3,1.0,0.833,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,1.7
Justise Winslow,26,29,11,26.8,2.8,6.8,0.409,0.5,1.6,0.311,2.3,5.3,0.438,0.444,0.7,1.0,0.714,1.7,3.3,5.0,3.4,1.0,0.4,1.5,3.1,6.8
James Wiseman,21,90,44,19.0,12.4,22.2,0.5723333333333334,0.2,1.3,0.289,12.2,21.0,0.5896666666666667,0.5776666666666667,4.5,6.5,0.699,4.8,12.7,17.5,2.0999999999999996,0.5,1.7,3.3,7.199999999999999,29.6
Christian Wood,27,67,17,25.9,5.9,11.5,0.515,1.6,4.2,0.376,4.3,7.3,0.594,0.583,3.2,4.2,0.772,1.3,6.0,7.3,1.8,0.4,1.1,1.8,2.5,16.6
Delon Wright,30,50,14,24.4,2.8,5.8,0.474,0.8,2.4,0.345,1.9,3.4,0.564,0.545,1.0,1.2,0.867,1.2,2.4,3.6,3.9,1.8,0.3,0.9,1.2,7.4
McKinley Wright IV,24,27,1,12.4,1.7,3.6,0.469,0.3,1.0,0.321,1.4,2.6,0.529,0.515,0.5,0.7,0.684,0.3,1.4,1.7,2.1,0.3,0.2,0.7,0.9,4.2
Gabe York,29,3,0,18.7,2.7,7.0,0.381,2.0,6.0,0.333,0.7,1.0,0.667,0.524,0.7,0.7,1.0,0.0,2.0,2.0,1.7,0.7,0.0,0.0,1.7,8.0
Thaddeus Young,34,54,9,14.7,2.0,3.7,0.545,0.1,0.6,0.176,1.9,3.0,0.622,0.561,0.3,0.5,0.692,1.3,1.8,3.1,1.4,1.0,0.1,0.8,1.6,4.4
Trae Young,24,73,73,34.8,8.2,19.0,0.429,2.1,6.3,0.335,6.1,12.7,0.476,0.485,7.8,8.8,0.886,0.8,2.2,3.0,10.2,1.1,0.1,4.1,1.4,26.2
Omer Yurtseven,24,9,0,9.2,1.8,3.0,0.593,0.3,0.8,0.429,1.4,2.2,0.65,0.648,0.6,0.7,0.833,0.9,1.7,2.6,0.2,0.2,0.2,0.4,1.8,4.4
Cody Zeller,30,15,2,14.5,2.5,3.9,0.627,0.0,0.1,0.0,2.5,3.8,0.649,0.627,1.6,2.3,0.686,1.7,2.6,4.3,0.7,0.2,0.3,0.9,2.2,6.5
Ivica Zubac,25,76,76,28.6,4.3,6.8,0.634,0.0,0.0,0.0,4.3,6.7,0.637,0.634,2.2,3.1,0.697,3.1,6.8,9.9,1.0,0.4,1.3,1.5,2.9,10.8
